order_id;total_qty;total_weight_gr;total_returned_qty;Total Diskon;product_categories;num_product_categories;Status Pesanan;Alasan Pembatalan;Opsi Pengiriman;Metode Pembayaran;Kota/Kabupaten;Provinsi;Ongkos Kirim Dibayar oleh Pembeli;Estimasi Potongan Biaya Pengiriman;Total Pembayaran;Perkiraan Ongkos Kirim;Waktu Pesanan Dibuat;source_file
ORD_0000022;1;1400;0;0;Rak / Rak Serbaguna;1;Batal;Dibatalkan secara otomatis oleh sistem. Alasan: Pengiriman gagal;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. BONE;SULAWESI SELATAN;0;0;0;111000;2024-04-01 13:53;AprilSales2024.xlsx
ORD_0000023;1;1700;0;0;Rak / Rak Serbaguna;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA BENGKULU;BENGKULU;4000;40000;72760;44000;2024-04-01 14:01;AprilSales2024.xlsx
ORD_0000024;1;200;0;0;Keranjang;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA JAKARTA TIMUR;DKI JAKARTA;0;8000;6200;8000;2024-04-01 14:53;AprilSales2024.xlsx
ORD_0000025;15;3000;0;0;Nampan / Tray;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. SUBANG;JAWA BARAT;31000;20000;134640;51000;2024-04-01 15:25;AprilSales2024.xlsx
ORD_0000026;10;2000;0;0;Mangkok Sambal / Saus;1;Selesai;;Agen SPX Express;COD (Bayar di Tempat);KAB. LAMPUNG TIMUR;LAMPUNG;6000;40000;163240;46000;2024-04-01 15:27;AprilSales2024.xlsx
ORD_0000027;1;1200;0;0;Toples / Sealware;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA TANGERANG;BANTEN;0;8000;42600;8000;2024-04-01 15:52;AprilSales2024.xlsx
ORD_0000028;1;300;0;0;Keranjang;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KAB. TANGERANG;BANTEN;0;8000;11000;8000;2024-04-01 16:09;AprilSales2024.xlsx
ORD_0000029;2;600;0;0;Keranjang;1;Selesai;;Hemat Kargo-SPX Hemat;Online Payment;KAB. BEKASI;JAWA BARAT;0;8000;20000;8000;2024-04-01 19:31;AprilSales2024.xlsx
ORD_0000030;1;500;0;0;Celengan;1;Selesai;;Reguler (Cashless)-SPX Standard;Saldo ShopeePay;KAB. TANGERANG;BANTEN;0;9500;18000;9500;2024-04-01 20:41;AprilSales2024.xlsx
ORD_0000031;1;200;0;0;Mangkok Sambal / Saus;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. KEBUMEN;JAWA TENGAH;18000;0;33000;18000;2024-04-01 21:23;AprilSales2024.xlsx
ORD_0000032;5;8020;0;0;Perlengkapan Packing, Toples / Sealware;2;Batal;Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA JAKARTA BARAT;DKI JAKARTA;0;0;0;32000;2024-04-01 21:32;AprilSales2024.xlsx
ORD_0000033;6;1200;0;0;Mangkok Sambal / Saus;1;Selesai;;Reguler (Cashless)-SPX Standard;Kartu Kredit/Debit;KAB. LUMAJANG;JAWA TIMUR;0;19000;68500;19000;2024-04-02 03:05;AprilSales2024.xlsx
ORD_0000034;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. KARAWANG;JAWA BARAT;10000;0;27000;10000;2024-04-02 05:47;AprilSales2024.xlsx
ORD_0000035;3;600;0;0;Plastik / Wadah Plastik;1;Batal;Dibatalkan secara otomatis oleh sistem. Alasan: Penjual tidak mengatur pengiriman tepat waktu;Instant (Versi Lama)-GrabExpress Instant (Versi Lama);SPayLater;KOTA TANGERANG;BANTEN;0;0;0;34000;2024-04-08 16:05;AprilSales2024.xlsx
ORD_0000036;1;200;0;0;Mangkok Sambal / Saus;1;Selesai;;Reguler (Cashless)-J&T Express;COD (Bayar di Tempat);KAB. KEPULAUAN SIAU TAGULANDANG BIARO (SITARO);SULAWESI UTARA;78499;0;98239;78499;2024-04-08 16:50;AprilSales2024.xlsx
ORD_0000037;3;3300;0;0;Celengan, Other;2;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KOTA JAKARTA SELATAN;DKI JAKARTA;8000;0;50000;8000;2024-04-08 19:15;AprilSales2024.xlsx
ORD_0000038;2;4000;1;0;Plastik / Wadah Plastik;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA SUKABUMI;JAWA BARAT;16000;20000;130540;36000;2024-04-08 19:49;AprilSales2024.xlsx
ORD_0000039;1;700;0;0;Rak / Rak Serbaguna;1;Batal;Dibatalkan oleh Pembeli. Alasan: Need to change delivery address;Reguler (Cashless)-J&T Express;COD (Bayar di Tempat);KAB. SIDENRENG RAPPANG/RAPANG;SULAWESI SELATAN;0;0;0;40000;2024-04-08 22:06;AprilSales2024.xlsx
ORD_0000040;2;100;0;0;Stempel / Alat Kantor;1;Batal;Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada;Reguler (Cashless)-SPX Standard;Online Payment;KAB. GRESIK;JAWA TIMUR;0;0;0;20000;2024-04-08 23:45;AprilSales2024.xlsx
ORD_0000041;3;150;0;0;Stempel / Alat Kantor;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KAB. GRESIK;JAWA TIMUR;0;19500;121540;19500;2024-04-09 00:00;AprilSales2024.xlsx
ORD_0000042;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA JAKARTA BARAT;DKI JAKARTA;8000;0;29912;8000;2024-04-09 00:22;AprilSales2024.xlsx
ORD_0000043;2;2000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;SPayLater;KAB. BEKASI;JAWA BARAT;8000;0;46147;8000;2024-04-09 01:45;AprilSales2024.xlsx
ORD_0000044;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Online Payment;KOTA TANGERANG SELATAN;BANTEN;8000;0;27000;8000;2024-04-09 02:45;AprilSales2024.xlsx
ORD_0000045;2;400;0;0;Mangkok Sambal / Saus;1;Batal;Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. LAMPUNG TENGAH;LAMPUNG;0;0;0;33200;2024-04-09 08:47;AprilSales2024.xlsx
ORD_0000046;2;400;0;0;Mangkok Sambal / Saus;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. LAMPUNG TENGAH;LAMPUNG;3200;30000;35528;33200;2024-04-09 08:51;AprilSales2024.xlsx
ORD_0000047;1;500;0;0;Celengan;1;Selesai;;Reguler (Cashless)-SPX Standard;Saldo ShopeePay;KOTA JAKARTA UTARA;DKI JAKARTA;10000;0;28000;10000;2024-04-09 09:14;AprilSales2024.xlsx
ORD_0000048;1;700;0;0;Rak / Rak Serbaguna;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. BOGOR;JAWA BARAT;8000;0;31000;8000;2024-04-09 10:49;AprilSales2024.xlsx
ORD_0000049;2;1000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Online Payment;KOTA JAKARTA BARAT;DKI JAKARTA;8000;0;43800;8000;2024-04-09 12:30;AprilSales2024.xlsx
ORD_0000050;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Online Payment;KAB. BOGOR;JAWA BARAT;8000;0;33000;8000;2024-04-09 12:54;AprilSales2024.xlsx
ORD_0000051;1;500;0;0;Celengan;1;Batal;Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran;Same Day-SPX Sameday;Online Payment;KOTA TANGERANG SELATAN;BANTEN;0;0;0;28500;2024-04-09 13:13;AprilSales2024.xlsx
ORD_0000052;2;1000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KOTA TANGERANG SELATAN;BANTEN;8000;0;48590;8000;2024-04-09 13:18;AprilSales2024.xlsx
ORD_0000053;2;400;0;0;Mangkok Sambal / Saus;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA DEPOK;JAWA BARAT;8000;0;40520;8000;2024-04-09 14:56;AprilSales2024.xlsx
ORD_0000054;1;4200;0;0;Rak / Rak Serbaguna;1;Batal;Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada;Agen SPX Express;COD (Bayar di Tempat);KAB. KOTA WARINGIN BARAT;KALIMANTAN TENGAH;0;0;0;106000;2024-04-09 21:08;AprilSales2024.xlsx
ORD_0000055;1;1400;0;0;Rak / Rak Serbaguna;1;Batal;Dibatalkan secara otomatis oleh sistem. Alasan: Pengiriman gagal;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. TANGERANG;BANTEN;0;0;0;16000;2024-04-10 00:32;AprilSales2024.xlsx
ORD_0000056;1;700;0;0;Rak / Rak Serbaguna;1;Batal;Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. TEGAL;JAWA TENGAH;0;0;0;16000;2024-04-10 08:13;AprilSales2024.xlsx
ORD_0000057;5;8400;0;0;Celengan, Plastik / Wadah Plastik;2;Selesai;;Reguler (Cashless)-SPX Standard;Saldo ShopeePay;KOTA BEKASI;JAWA BARAT;0;20000;81500;20000;2024-04-10 11:24;AprilSales2024.xlsx
ORD_0000058;1;500;0;0;Celengan;1;Selesai;;Reguler (Cashless)-SPX Standard;COD (Bayar di Tempat);KAB. BEKASI;JAWA BARAT;0;9500;19800;9500;2024-04-10 11:40;AprilSales2024.xlsx
ORD_0000059;6;9000;0;0;Celengan;1;Batal;Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran;Same Day-SPX Sameday;Saldo ShopeePay;KOTA TANGERANG;BANTEN;0;0;0;17500;2024-04-10 11:59;AprilSales2024.xlsx
ORD_0000060;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. GARUT;JAWA BARAT;4000;10000;25752;14000;2024-04-10 13:37;AprilSales2024.xlsx
ORD_0000061;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;SPayLater;KAB. BOGOR;JAWA BARAT;8000;0;29078;8000;2024-04-10 17:35;AprilSales2024.xlsx
ORD_0000062;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. BANDUNG BARAT;JAWA BARAT;9000;0;34280;9000;2024-04-10 20:19;AprilSales2024.xlsx
ORD_0000063;2;1000;0;0;Celengan;1;Selesai;;Reguler (Cashless)-SPX Standard;COD (Bayar di Tempat);KOTA BOGOR;JAWA BARAT;0;10000;42184;10000;2024-04-11 00:45;AprilSales2024.xlsx
ORD_0000064;1;500;0;0;Celengan;1;Selesai;;Reguler (Cashless)-JNE Reguler;Saldo ShopeePay;KOTA BOGOR;JAWA BARAT;0;9500;12100;9500;2024-04-11 00:47;AprilSales2024.xlsx
ORD_0000065;1;50;0;0;Stempel / Alat Kantor;1;Batal;Dibatalkan secara otomatis oleh sistem. Alasan: Pesanan belum dibayar;Hemat Kargo;Saldo ShopeePay;KOTA SALATIGA;JAWA TENGAH;0;0;0;18000;2024-04-11 08:52;AprilSales2024.xlsx
ORD_0000066;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KOTA JAKARTA TIMUR;DKI JAKARTA;8000;0;28800;8000;2024-04-11 10:11;AprilSales2024.xlsx
ORD_0000067;2;2000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Online Payment;KAB. BEKASI;JAWA BARAT;8000;0;43414;8000;2024-04-11 10:16;AprilSales2024.xlsx
ORD_0000068;3;1800;0;0;Mangkok Sambal / Saus;1;Selesai;;Reguler (Cashless)-J&T Express;COD (Bayar di Tempat);KAB. KUTAI BARAT;KALIMANTAN TIMUR;101000;0;152840;101000;2024-04-11 14:18;AprilSales2024.xlsx
ORD_0000069;1;500;0;0;Celengan;1;Batal;Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. BREBES;JAWA TENGAH;0;0;0;16000;2024-04-11 14:39;AprilSales2024.xlsx
ORD_0000070;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA BEKASI;JAWA BARAT;8000;0;29912;8000;2024-04-11 15:24;AprilSales2024.xlsx
ORD_0000071;1;300;0;0;Other;1;Batal;Dibatalkan secara otomatis oleh sistem. Alasan: Penjual gagal mengirimkan pesanan tepat waktu;Reguler (Cashless)-SPX Standard;Online Payment;KOTA BEKASI;JAWA BARAT;0;0;0;9500;2024-04-11 17:42;AprilSales2024.xlsx
ORD_0000072;1;500;0;0;Celengan;1;Batal;Dibatalkan secara otomatis oleh sistem. Alasan: Pengiriman gagal;Reguler (Cashless)-SPX Standard;COD (Bayar di Tempat);KAB. BANJARNEGARA;JAWA TENGAH;0;0;0;20500;2024-04-11 18:29;AprilSales2024.xlsx
ORD_0000073;2;2000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA JAKARTA TIMUR;DKI JAKARTA;8000;0;45200;8000;2024-04-11 23:43;AprilSales2024.xlsx
ORD_0000074;2;1000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KOTA BEKASI;JAWA BARAT;8000;0;48600;8000;2024-04-12 04:56;AprilSales2024.xlsx
ORD_0000075;22;97740;0;0;Aksesoris ID Card, Bangku / Kursi Kecil, Botol / Gelas / Mug, Mangkok Sambal / Saus, Nampan / Tray, Peralatan Makan, Perlengkapan Packing, Plastik / Wadah Plastik, Saringan / Strainer, Talenan, Toples / Sealware;11;Batal;Dibatalkan oleh Pembeli. Alasan: Need to change delivery address;Kargo-JNE Trucking (JTR);Online Payment;KOTA SURABAYA;JAWA TIMUR;0;0;0;39900;2024-04-12 05:44;AprilSales2024.xlsx
ORD_0000076;6;3600;0;0;Mangkok Sambal / Saus;1;Batal;Dibatalkan oleh Pembeli. Alasan: Need to change delivery address;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA SERANG;BANTEN;0;0;0;7500;2024-04-12 09:30;AprilSales2024.xlsx
ORD_0000077;6;3600;0;0;Mangkok Sambal / Saus;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. LEBAK;BANTEN;0;13000;94600;13000;2024-04-12 09:32;AprilSales2024.xlsx
ORD_0000078;1;300;0;0;Keranjang;1;Batal;Dibatalkan oleh Pembeli. Alasan: Need to change delivery address;Agen SPX Express;COD (Bayar di Tempat);KOTA MAKASSAR;SULAWESI SELATAN;0;0;0;22000;2024-04-12 12:45;AprilSales2024.xlsx
ORD_0000079;2;2000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Kartu Kredit/Debit;KAB. BEKASI;JAWA BARAT;8000;0;45800;8000;2024-04-12 13:04;AprilSales2024.xlsx
ORD_0000080;2;2000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KAB. DELI SERDANG;SUMATERA UTARA;0;36000;38300;36000;2024-04-12 14:08;AprilSales2024.xlsx
ORD_0000081;1;200;0;0;Mangkok Sambal / Saus;1;Batal;Dibatalkan oleh Pembeli. Alasan: Need to change delivery address;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA TANGERANG SELATAN;BANTEN;0;0;0;8000;2024-04-12 15:42;AprilSales2024.xlsx
ORD_0000082;6;1200;0;0;Mangkok Sambal / Saus;1;Selesai;;Reguler (Cashless)-SPX Standard;Kartu Kredit/Debit;KAB. LUMAJANG;JAWA TIMUR;0;19000;83283;19000;2024-04-12 16:15;AprilSales2024.xlsx
ORD_0000083;1;500;0;0;Celengan;1;Selesai;;Reguler (Cashless)-SPX Standard;Saldo ShopeePay;KOTA TANGERANG;BANTEN;0;9500;17674;9500;2024-04-12 17:49;AprilSales2024.xlsx
ORD_0000084;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KOTA TANGERANG SELATAN;BANTEN;8000;0;28800;8000;2024-04-12 18:13;AprilSales2024.xlsx
ORD_0000085;1;500;0;0;Celengan;1;Selesai;;Reguler (Cashless)-SPX Standard;Saldo ShopeePay;KOTA TANGERANG;BANTEN;0;9500;20800;9500;2024-04-12 18:16;AprilSales2024.xlsx
ORD_0000086;25;5000;0;0;Nampan / Tray;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. SUBANG;JAWA BARAT;65000;20000;237278;85000;2024-04-12 20:44;AprilSales2024.xlsx
ORD_0000087;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KOTA JAKARTA TIMUR;DKI JAKARTA;8000;0;25050;8000;2024-04-12 20:45;AprilSales2024.xlsx
ORD_0000088;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. BANDUNG;JAWA BARAT;9000;0;30952;9000;2024-04-12 21:23;AprilSales2024.xlsx
ORD_0000089;1;500;0;0;Celengan;1;Selesai;;Reguler (Cashless)-SPX Standard;SPayLater;KOTA BEKASI;JAWA BARAT;9500;0;28270;9500;2024-04-13 02:53;AprilSales2024.xlsx
ORD_0000090;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KOTA JAKARTA BARAT;DKI JAKARTA;8000;0;29912;8000;2024-04-13 04:30;AprilSales2024.xlsx
ORD_0000091;1;300;0;0;Peralatan Kamar Mandi;1;Batal;Dibatalkan oleh Pembeli. Alasan: Lainnya/ berubah pikiran;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. LAMONGAN;JAWA TIMUR;0;0;0;20000;2024-04-13 07:11;AprilSales2024.xlsx
ORD_0000092;18;88110;0;0;Bangku / Kursi Kecil, Botol / Gelas / Mug, Nampan / Tray, Peralatan Makan, Perlengkapan Packing, Plastik / Wadah Plastik, Saringan / Strainer, Talenan, Toples / Sealware;9;Batal;Dibatalkan oleh Pembeli. Alasan: Need to change delivery address;Kargo-JNE Trucking (JTR);Saldo ShopeePay;KOTA SURABAYA;JAWA TIMUR;0;0;0;39900;2024-04-13 07:30;AprilSales2024.xlsx
ORD_0000093;5;7800;0;0;Celengan, Other;2;Selesai;;Hemat Kargo-SPX Hemat;SeaBank Bayar Instan;KOTA JAKARTA SELATAN;DKI JAKARTA;4000;20000;81881;24000;2024-04-13 07:39;AprilSales2024.xlsx
ORD_0000094;1;7000;0;0;Other;1;Selesai;;Instant (Versi Lama)-GrabExpress Instant (Versi Lama);Online Payment;KOTA TANGERANG;BANTEN;0;20000;102000;20000;2024-04-13 08:08;AprilSales2024.xlsx
ORD_0000095;1;500;0;0;Celengan;1;Batal;Dibatalkan oleh Pembeli. Alasan: Ubah Pesanan yang Ada;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. BOGOR;JAWA BARAT;0;0;0;8000;2024-04-13 08:15;AprilSales2024.xlsx
ORD_0000096;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. BEKASI;JAWA BARAT;8000;0;30120;8000;2024-04-13 10:15;AprilSales2024.xlsx
ORD_0000097;6;9000;0;0;Celengan;1;Selesai;;Same Day-SPX Sameday;Saldo ShopeePay;KOTA TANGERANG;BANTEN;17500;0;123752;17500;2024-04-13 11:27;AprilSales2024.xlsx
ORD_0000098;2;1000;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. BOGOR;JAWA BARAT;8000;0;44472;8000;2024-04-13 13:11;AprilSales2024.xlsx
ORD_0000099;3;4500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;SPayLater;KOTA CIMAHI;JAWA BARAT;18000;0;68660;18000;2024-04-13 13:42;AprilSales2024.xlsx
ORD_0000100;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. GARUT;JAWA BARAT;16000;0;35216;16000;2024-04-13 18:08;AprilSales2024.xlsx
ORD_0000101;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;Saldo ShopeePay;KAB. KARAWANG;JAWA BARAT;0;10000;20800;10000;2024-04-13 19:51;AprilSales2024.xlsx
ORD_0000102;1;500;0;0;Celengan;1;Selesai;;Reguler (Cashless)-JNE Reguler;Saldo ShopeePay;KOTA JAKARTA BARAT;DKI JAKARTA;10000;0;28090;10000;2024-04-13 22:13;AprilSales2024.xlsx
ORD_0000103;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;SPayLater;KOTA SEMARANG;JAWA TENGAH;4500;10000;25543;14500;2024-04-13 22:36;AprilSales2024.xlsx
ORD_0000104;6;3900;0;0;Mangkok Sambal / Saus, Other, Tempat Sampah;3;Selesai;;Hemat Kargo-SPX Hemat;SPayLater;KAB. KAUR;BENGKULU;37300;0;119372;37300;2024-04-13 23:03;AprilSales2024.xlsx
ORD_0000105;2;400;0;0;Mangkok Sambal / Saus;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. SEMARANG;JAWA TENGAH;22000;0;55080;22000;2024-04-14 01:37;AprilSales2024.xlsx
ORD_0000106;1;500;0;0;Celengan;1;Selesai;;Hemat Kargo-SPX Hemat;COD (Bayar di Tempat);KAB. TANGERANG;BANTEN;8000;0;29912;8000;2024-04-14 05:57;AprilSales2024.xlsx
ORD_0000107;3;4200;0;0;Nampan / Tray, Plastik / Wadah Plastik;2;Selesai;;Same Day-SPX Sameday;Online Payment;KOTA TANGERANG;BANTEN;17500;0;57500;17500;2024-04-14 09:14;AprilSales2024.xlsx
